item_x,item_y,n_both_attempted,p_fail_x,p_fail_y,p_fail_both,lift,phi,session_x,session_y,question_type_x,question_type_y
007a043d-3e83-4af8-88ab-d3b76e35410d,00b15dc2-9bab-4f2f-979d-aa83edfd2979,180,0.7388888888888889,0.13333333333333333,0.09444444444444444,0.9586466165413533,-0.027285458860223526,Nested Conditional Statements,For Loop,CODE_ANALYSIS_TEXTUAL,CODE_ANALYSIS_MULTIPLE_CHOICE
007a043d-3e83-4af8-88ab-d3b76e35410d,0217e37b-9914-407a-a3d6-6f81d647048b,456,0.7324561403508771,0.15570175438596492,0.1206140350877193,1.0576031036518512,0.04092964817087625,Nested Conditional Statements,For Loop,CODE_ANALYSIS_TEXTUAL,CODE_ANALYSIS_MULTIPLE_CHOICE
007a043d-3e83-4af8-88ab-d3b76e35410d,026f65a4-00b9-4d01-9822-4cc815d1454c,466,0.7339055793991416,0.2296137339055794,0.1781115879828326,1.0569492266491773,0.05163387343588976,Nested Conditional Statements,For Loop,CODE_ANALYSIS_TEXTUAL,CODE_ANALYSIS_MULTIPLE_CHOICE
007a043d-3e83-4af8-88ab-d3b76e35410d,02ccec1c-1291-44ef-9b1e-7174fee182d5,206,0.7864077669902912,0.1407766990291262,0.09223300970873786,0.8331204767986378,-0.1296124097369369,Nested Conditional Statements,Nested Conditional Statements,CODE_ANALYSIS_TEXTUAL,FIB_CODING
007a043d-3e83-4af8-88ab-d3b76e35410d,03669b6d-3b7c-441c-990a-6a4280dacae9,463,0.7408207343412527,0.1900647948164147,0.1468682505399568,1.043069175722237,0.03527351176131651,Nested Conditional Statements,Conditional Statements,CODE_ANALYSIS_TEXTUAL,CODE_ANALYSIS_TEXTUAL
007a043d-3e83-4af8-88ab-d3b76e35410d,03a83160-120b-40f3-9ad4-91df5826eebe,427,0.7189695550351288,0.06791569086651054,0.05152224824355972,1.0551499494552397,0.023811192516992864,Nested Conditional Statements,Conditional Statements,CODE_ANALYSIS_TEXTUAL,CODE_ANALYSIS_MULTIPLE_CHOICE
007a043d-3e83-4af8-88ab-d3b76e35410d,03e89465-14fc-47ca-ba0e-02c91a8d93d2,502,0.7071713147410359,0.35258964143426297,0.2589641434262948,1.0385931407654967,0.04425991600132535,Nested Conditional Statements,Loops,CODE_ANALYSIS_TEXTUAL,CODE_ANALYSIS_TEXTUAL
007a043d-3e83-4af8-88ab-d3b76e35410d,060a9019-8dec-4888-8407-78cfb3e7511b,462,0.7207792207792207,0.12554112554112554,0.09523809523809523,1.0525007766387076,0.03196070155559858,Nested Conditional Statements,Conditional Statements,CODE_ANALYSIS_TEXTUAL,CODE_ANALYSIS_TEXTUAL
007a043d-3e83-4af8-88ab-d3b76e35410d,075d543b-6a2f-4689-ae4a-c8a72d96ab61,225,0.72,0.044444444444444446,0.03111111111111111,0.9722222222222222,-0.009606506961737248,Nested Conditional Statements,Conditional Statements,CODE_ANALYSIS_TEXTUAL,CODE_ANALYSIS_MULTIPLE_CHOICE
007a043d-3e83-4af8-88ab-d3b76e35410d,07a607b3-2898-43af-91c5-388fa5e42aec,177,0.6949152542372882,0.2711864406779661,0.192090395480226,1.0193089430894309,0.017776241504176397,Nested Conditional Statements,Conditional Statements,CODE_ANALYSIS_TEXTUAL,FIB_CODING
007a043d-3e83-4af8-88ab-d3b76e35410d,0838b436-1053-456d-9d04-5155be0f1713,428,0.7079439252336449,0.13551401869158877,0.09579439252336448,0.9985205417093433,-0.0009119733940769764,Nested Conditional Statements,Conditional Statements,CODE_ANALYSIS_TEXTUAL,CODE_ANALYSIS_MULTIPLE_CHOICE
007a043d-3e83-4af8-88ab-d3b76e35410d,08a0899a-540c-45b1-a2b5-1d01595da5d3,425,0.7082352941176471,0.23529411764705882,0.16941176470588235,1.0166112956810631,0.014356025909489525,Nested Conditional Statements,For Loop,CODE_ANALYSIS_TEXTUAL,CODE_ANALYSIS_MULTIPLE_CHOICE
007a043d-3e83-4af8-88ab-d3b76e35410d,08c09bde-bfda-4994-830f-a2d8bcbff4eb,190,0.6789473684210526,0.12105263157894737,0.1,1.2167172227839569,0.11695776126408278,Nested Conditional Statements,Nested Conditional Statements,CODE_ANALYSIS_TEXTUAL,MULTIPLE_CHOICE
007a043d-3e83-4af8-88ab-d3b76e35410d,0900a11d-8365-41a5-860e-7ca3e3a5b79a,878,0.7084282460136674,0.2255125284738041,0.16173120728929385,1.0123420702198838,0.010381051879900028,Nested Conditional Statements,Nested Conditional Statements,CODE_ANALYSIS_TEXTUAL,CODE_ANALYSIS_MULTIPLE_CHOICE
007a043d-3e83-4af8-88ab-d3b76e35410d,09fe1755-4f9c-4291-b30d-fdbb3a2ef7d4,162,0.6851851851851852,0.06172839506172839,0.043209876543209874,1.0216216216216216,0.00818168717444638,Nested Conditional Statements,Conditional Statements,CODE_ANALYSIS_TEXTUAL,CODE_ANALYSIS_MULTIPLE_CHOICE
007a043d-3e83-4af8-88ab-d3b76e35410d,0a1d0356-36f0-4731-9343-d03bd5a54f98,463,0.7105831533477321,0.10583153347732181,0.07991360691144708,1.0626512002977482,0.033773246908360845,Nested Conditional Statements,Conditional Statements,CODE_ANALYSIS_TEXTUAL,CODE_ANALYSIS_MULTIPLE_CHOICE
